id,company_name,job_title,location,description,inserted_at
1,Pixel Systems,Desenvolvedor(a) Back-end Júnior,"Florianópolis, SC",Programa afirmativo para mulheres. Buscamos ampliar a participação feminina em equipes de tecnologia.,2025-08-02 10:54:00
2,CodeWave,Pessoa Aprendiz em TI,"Rio de Janeiro, RJ",Programa afirmativo para mulheres. Buscamos ampliar a participação feminina em equipes de tecnologia.,2025-09-08 10:52:00
3,Sigma Digital,Desenvolvedor(a) Front-end Júnior,"Salvador, BA",Programa afirmativo para mulheres. Buscamos ampliar a participação feminina em equipes de tecnologia.,2025-10-19 10:50:00
4,Sigma Digital,Pessoa Aprendiz em TI,"Recife, PE",Esta oportunidade é exclusiva para mulheres. Programa voltado ao fortalecimento da diversidade de gênero em tecnologia.,2025-11-16 10:09:00
5,Alpha Cloud,Estágio em QA,"São Paulo, SP",Esta oportunidade é exclusiva para mulheres. Programa voltado ao fortalecimento da diversidade de gênero em tecnologia.,2025-12-20 10:11:00
6,SmartLabs,Estágio em Dados,Remoto - Brasil,Programa afirmativo para mulheres. Buscamos ampliar a participação feminina em equipes de tecnologia.,2026-01-14 10:51:00
7,Alpha Cloud,Estágio em Dados,"Florianópolis, SC",Esta oportunidade é exclusiva para mulheres. Programa voltado ao fortalecimento da diversidade de gênero em tecnologia.,2026-02-26 10:15:00
8,SmartLabs,Desenvolvedor(a) Back-end Júnior,"Recife, PE",Programa afirmativo para mulheres. Buscamos ampliar a participação feminina em equipes de tecnologia.,2026-03-26 10:21:00
9,DevPoint,Analista de Suporte Júnior,"Salvador, BA",Esta oportunidade é exclusiva para mulheres. Programa voltado ao fortalecimento da diversidade de gênero em tecnologia.,2026-04-08 10:13:00
10,DigitalCore,Pessoa Aprendiz em TI,"Campinas, SP",Vaga afirmativa para mulheres. Incentivamos candidaturas de mulheres cis e trans. Oportunidade para início de carreira em tecnologia.,2026-05-11 10:57:00
11,Pixel Systems,QA Júnior,"Recife, PE",Esta oportunidade é exclusiva para mulheres. Programa voltado ao fortalecimento da diversidade de gênero em tecnologia.,2025-08-13 10:13:00
12,TechNova,Estágio em Dados,"São Paulo, SP",Vaga afirmativa para mulheres. Incentivamos candidaturas de mulheres cis e trans. Oportunidade para início de carreira em tecnologia.,2025-09-09 10:13:00
13,DigitalCore,QA Júnior,"Florianópolis, SC",Programa afirmativo para mulheres. Buscamos ampliar a participação feminina em equipes de tecnologia.,2025-10-05 10:11:00
14,NextGen Tech,Estágio em Ciência de Dados,"São Paulo, SP",Vaga afirmativa para mulheres. Incentivamos candidaturas de mulheres cis e trans. Oportunidade para início de carreira em tecnologia.,2025-11-05 10:47:00
15,CodeWave,Estágio em Desenvolvimento,"Curitiba, PR",Programa afirmativo para mulheres. Buscamos ampliar a participação feminina em equipes de tecnologia.,2025-12-18 10:48:00
16,InovaTI,Desenvolvedor(a) Front-end Júnior,"Curitiba, PR",Vaga afirmativa para mulheres. Incentivamos candidaturas de mulheres cis e trans. Oportunidade para início de carreira em tecnologia.,2026-01-12 10:51:00
