id,empresa,titulo,nivel,area_tech,cidade,uf,remoto,tipo_di,eh_di,mes_ano,inserted_at,descricao
,Pixel Systems,Desenvolvedor(a) Back-end Júnior,Júnior,Desenvolvimento Back-end,Florianópolis,SC,0,Afirmativa,1,2025-08,2025-08-02 10:54:00,Programa afirmativo para mulheres. Buscamos ampliar a participação feminina em equipes de tecnologia.
,CodeWave,Pessoa Aprendiz em TI,Aprendiz,TI Geral,Rio de Janeiro,RJ,0,Afirmativa,1,2025-09,2025-09-08 10:52:00,Programa afirmativo para mulheres. Buscamos ampliar a participação feminina em equipes de tecnologia.
,Sigma Digital,Desenvolvedor(a) Front-end Júnior,Júnior,Desenvolvimento Front-end,Salvador,BA,0,Afirmativa,1,2025-10,2025-10-19 10:50:00,Programa afirmativo para mulheres. Buscamos ampliar a participação feminina em equipes de tecnologia.
,Sigma Digital,Pessoa Aprendiz em TI,Aprendiz,TI Geral,Recife,PE,0,Exclusiva,1,2025-11,2025-11-16 10:09:00,Esta oportunidade é exclusiva para mulheres. Programa voltado ao fortalecimento da diversidade de gênero em tecnologia.
,Alpha Cloud,Estágio em QA,Estagiário,QA/Testes,São Paulo,SP,0,Exclusiva,1,2025-12,2025-12-20 10:11:00,Esta oportunidade é exclusiva para mulheres. Programa voltado ao fortalecimento da diversidade de gênero em tecnologia.
,SmartLabs,Estágio em Dados,Estagiário,Dados,,,1,Afirmativa,1,2026-01,2026-01-14 10:51:00,Programa afirmativo para mulheres. Buscamos ampliar a participação feminina em equipes de tecnologia.
,Alpha Cloud,Estágio em Dados,Estagiário,Dados,Florianópolis,SC,0,Exclusiva,1,2026-02,2026-02-26 10:15:00,Esta oportunidade é exclusiva para mulheres. Programa voltado ao fortalecimento da diversidade de gênero em tecnologia.
,SmartLabs,Desenvolvedor(a) Back-end Júnior,Júnior,Desenvolvimento Back-end,Recife,PE,0,Afirmativa,1,2026-03,2026-03-26 10:21:00,Programa afirmativo para mulheres. Buscamos ampliar a participação feminina em equipes de tecnologia.
,DevPoint,Analista de Suporte Júnior,Júnior,Suporte Técnico,Salvador,BA,0,Exclusiva,1,2026-04,2026-04-08 10:13:00,Esta oportunidade é exclusiva para mulheres. Programa voltado ao fortalecimento da diversidade de gênero em tecnologia.
,DigitalCore,Pessoa Aprendiz em TI,Aprendiz,TI Geral,Campinas,SP,0,Afirmativa Trans-Inclusiva,1,2026-05,2026-05-11 10:57:00,Vaga afirmativa para mulheres. Incentivamos candidaturas de mulheres cis e trans. Oportunidade para início de carreira em tecnologia.
